,지번주소,위도,경도
158,서울특별시 강동구 천호동 447,37.5357787,127.1341277
159,서울특별시 강동구 길동 378,37.5385834,127.139991
160,서울특별시 강동구 명일동 345-12,37.5460516,127.1431682
161,서울특별시 강동구 명일동 312,37.5512727,127.1423986
162,서울특별시 강동구 고덕동 310,37.5556254,127.153855
163,서울특별시 강동구 상일동 148,37.5546735,127.1569719
164,서울특별시 강동구 둔촌동 416,37.5282539,127.1447139
165,서울특별시 송파구 방이동 89-28,37.5165504,127.1311343
166,서울특별시 송파구 방이동 217-2,37.5080336,127.1254537
167,서울특별시 송파구 오금동 44-2,37.503412,127.1261676
168,서울특별시 송파구 가락동 165-2,37.4985573,127.13382
169,서울특별시 송파구 거여동 20-14,37.494248,127.1420247
170,서울특별시 송파구 마천동 307-4,37.4944505,127.151965
171,서울특별시 강동구 상일동 산73,37.5560729,127.1762166
172,경기도 하남시 망월동 1122,37.5660773,127.1915907
173,경기도 하남시 덕풍동 727-3,37.5532244,127.2047325
174,경기도 하남시 덕풍동 405-1,37.5419079,127.2062363
175,경기도 하남시 창우동 526,37.5395289,127.2246519
176,서울특별시 은평구 신사동 22-15,37.5984153,126.9148755
177,서울특별시 은평구 녹번동 153-31,37.6054128,126.9232712
178,서울특별시 은평구 대조동 13-10,37.6103451,126.9299074
179,서울특별시 은평구 불광동 13-33,37.6183762,126.9328575
180,서울특별시 은평구 갈현동 397,37.6189322,126.9208532
181,서울특별시 은평구 구산동 1,37.611115,126.9163485
182,서울특별시 은평구 신사동 337-5,37.5911594,126.9132854
183,서울특별시 은평구 증산동 199-8,37.5836499,126.9093766
184,서울특별시 은평구 증산동 223-25,37.5774499,126.9021537
185,서울특별시 마포구 성산동 420,37.5696869,126.8991122
186,서울특별시 마포구 성산동 592,37.5645802,126.9030928
187,서울특별시 마포구 망원동 378,37.5553083,126.9101247
188,서울특별시 마포구 합정동 414,37.5493839,126.9142355
189,서울특별시 마포구 상수동 309-10,37.5479961,126.9228324
190,서울특별시 마포구 창전동 145-17,37.5474649,126.9324572
191,서울특별시 마포구 대흥동 128-1,37.5477293,126.9423787
192,서울특별시 마포구 공덕동 439,37.54811249999999,126.9549965
193,서울특별시 용산구 효창동 80,37.539622,126.9609837
194,서울특별시 용산구 한강로1가 228-1,37.5346526,126.9732218
195,서울특별시 용산구 용산동4가 4,37.5344442,126.9855245
196,서울특별시 용산구 이태원동 119-23,37.5345469,126.9946497
197,서울특별시 용산구 한남동 726-494,37.5408061,127.0018408
198,서울특별시 중구 신당동 366-454,37.5481869,127.0070666
199,서울특별시 중구 신당동 369-2,37.5547631,127.010496
200,서울특별시 중구 신당동 295-2,37.5603474,127.0138712
201,서울특별시 중구 흥인동 162-1,37.56724579999999,127.0162247
202,서울특별시 종로구 숭인동 316-3,37.5716274,127.0158128
203,서울특별시 종로구 창신동 20-8,37.5794492,127.01519
204,서울특별시 성북구 보문동1가 127-1,37.5857743,127.0197148
205,서울특별시 성북구 안암동5가 146-1,37.586091,127.0293717
206,서울특별시 성북구 종암동 29-18,37.5905398,127.0361167
207,서울특별시 성북구 하월곡동 35-1,37.6017485,127.0414156
208,서울특별시 성북구 상월곡동 26-1,37.6070859,127.0498308
209,서울특별시 성북구 석관동 349-8,37.6106056,127.0571471
210,서울특별시 노원구 월계동 25-2,37.6152692,127.0668174
211,서울특별시 노원구 공릉동 616-4,37.6191428,127.0751362
212,서울특별시 노원구 공릉동 285-2,37.6198955,127.0832871
213,서울특별시 중랑구 신내동 643-1,37.6164233,127.0933159
214,서울특별시 중랑구 신내동 19,37.6120565,127.1090577
215,경기도 의정부시 장암동 160-8,37.7001506,127.0531007
216,서울특별시 도봉구 도봉동 38-3,37.6890338,127.0466673
217,서울특별시 노원구 상계동 1132-9,37.67745439999999,127.0553493
218,서울특별시 노원구 상계동 650,37.6676164,127.0570136
219,서울특별시 노원구 상계동 729,37.65350770000001,127.0608068
220,서울특별시 노원구 중계동 503-3,37.64269780000001,127.0651821
221,서울특별시 노원구 하계동 273-5,37.6352525,127.0685278
222,서울특별시 노원구 공릉동 385-4,37.625762,127.0727485
223,서울특별시 노원구 공릉동 616-4,37.6191428,127.0751362
224,서울특별시 중랑구 묵동 189-5,37.6108634,127.0777179
225,서울특별시 중랑구 중화동 50-3,37.6017123,127.0790562
226,서울특별시 중랑구 상봉동 100-9,37.5967657,127.0860297
227,서울특별시 중랑구 면목동 282-6,37.5892178,127.0873554
228,서울특별시 중랑구 면목동 495,37.5825672,127.0881295
229,서울특별시 중랑구 면목동 1316-5,37.5740327,127.0870583
230,서울특별시 광진구 중곡동 273-2 7호선,37.5632225,127.0827532
231,서울특별시 광진구 능동 275-5,37.5567294,127.0805348
232,서울특별시 광진구 화양동 164-1,37.5471331,127.0739626
233,서울특별시 광진구 화양동 6-3,37.5405069,127.0705832
234,서울특별시 광진구 자양동 73-2,37.5319488,127.0670071
235,서울특별시 강남구 청담동 77-76,37.518721,127.0492085
236,서울특별시 강남구 삼성동 111-44,37.51820379999999,127.0472197
237,서울특별시 강남구 논현동 279-67,37.5142998,127.0317742
238,서울특별시 강남구 논현동 279-67,37.5142998,127.0317742
239,서울특별시 서초구 잠원동 103,37.5082986,127.0118194
240,서울특별시 서초구 반포동 19-11,37.5048493,127.0048756
241,서울특별시 서초구 방배동 874-16,37.4881269,126.9932148
242,서울특별시 동작구 사당동 144-4,37.4851703,126.9811618
243,서울특별시 동작구 사당동 산25-33,37.4847362,126.9711165
244,서울특별시 동작구 상도동 514,37.4958252,126.9540533
245,서울특별시 동작구 상도1동 702-1,37.5035164,126.9472869
246,서울특별시 동작구 상도동 26-20,37.5047201,126.941072
247,서울특별시 동작구 대방동 406-10,37.499653,126.9277067
248,서울특별시 동작구 대방동 466-51,37.4995684,126.9205725
249,서울특별시 영등포구 신길동 3599,37.5003095,126.9094012
250,서울특별시 영등포구 대림동 1050-17,37.4928496,126.896796
251,서울특별시 구로구 구로동 801-95,37.4849193,126.8867122
252,서울특별시 금천구 가산동 468-4,37.4824123,126.8822401
253,경기도 광명시 철산동 526,37.4767096,126.8699829
254,경기도 광명시 광명동 158-211,37.4794911,126.8546779
255,서울특별시 구로구 천왕동 14-25,37.4871479,126.8384079
256,서울특별시 구로구 온수동 119,37.4913706,126.8214294
257,서울특별시 강동구 암사동 501,37.5511669,127.128209
258,서울특별시 강동구 천호동 455,37.5385033,127.1251119
259,서울특별시 강동구 성내동 319,37.5307146,127.121838
260,서울특별시 송파구 신천동 19,37.5169837,127.1107635
261,서울특별시 송파구 신천동 7-4,37.5149112,127.1040804
262,서울특별시 송파구 석촌동 209,37.5066365,127.1056227
263,서울특별시 송파구 가락동 459-4,37.49987309999999,127.1121032
264,서울특별시 송파구 가락동 184-23,37.4929144,127.1182155
265,서울특별시 송파구 문정동 119-4,37.487762,127.1215247
266,서울특별시 송파구 장지동 201-5,37.4775778,127.1266153
267,서울특별시 송파구 장지동 596-21,37.4706579,127.1267053
268,경기도 성남시 수정구 복정동 57,37.46306999999999,127.1391515
269,경기도 성남시 수정구 신흥동 7,37.4544637,127.1497374
270,경기도 성남시 수정구 단대동 96,37.4492733,127.1582031
271,경기도 성남시 수정구 신흥동 2467,37.44339069999999,127.1504447
272,경기도 성남시 수정구 신흥동 2467,37.44339069999999,127.1504447
273,경기도 성남시 수정구 수진동 2205-1,37.4376444,127.1404424
274,경기도 성남시 수정구 수진동 4518,37.4342602,127.1295725
275,서울특별시 강남구 논현동 279-165,37.507503,127.0342544
276,서울특별시 강남구 삼성동 111-114,37.510537,127.0445954
277,서울특별시 강남구 삼성동 111-147,37.5116348,127.0484981
278,서울특별시 강남구 삼성동 172,37.5147697,127.0632364
279,서울특별시 송파구 잠실동 123,37.5115517,127.0769072
280,서울특별시 송파구 잠실동 347,37.5041765,127.087303
281,서울특별시 송파구 삼전동 157-1,37.5031898,127.0969466
282,서울특별시 송파구 석촌동 209,37.5066365,127.1056227
283,서울특별시 송파구 방이동 2,37.5109632,127.112736
284,서울특별시 송파구 방이동 88-17,37.516224,127.1176436
285,서울특별시 송파구 방이동 89-28,37.5165504,127.1311343
286,서울특별시 강동구 둔촌동 227-7,37.5185185,127.1409067
287,서울특별시 강동구 둔촌동 8-1,37.5283534,127.1483457
288,서울특별시 용산구 한강로3가 40-999,37.529557,126.9641567
289,서울특별시 용산구 동자동 43-205,37.5523947,126.9710685
